Modifica les dades a Wikidata;
Escut del Poal.svg;
el Poal;Pla d'Urgell
Modifica les dades a Wikidata;
Escut del Pont de Bar.svg;
el Pont de Bar;Alt Urgell
Modifica les dades a Wikidata;
Escudo del Pont de Suert.svg;
el Pont de Suert;Alta Ribagorça
Modifica les dades a Wikidata;
Escut del Soleràs.svg;
el Soleràs;Garrigues
Modifica les dades a Wikidata;
Escut del Vilosell.svg;
el Vilosell;Garrigues
Modifica les dades a Wikidata;
els Alamús;Segrià
Modifica les dades a Wikidata;
Gáficoomellons.png;
els Omellons;Garrigues
Modifica les dades a Wikidata;
Escut dels Omells de na Gaia.svg;
els Omells de na Gaia;Urgell
Modifica les dades a Wikidata;
Escut dels Plans de Sió.SVG;
els Plans de Sió;Segarra
Modifica les dades a Wikidata;
els Torms;Garrigues
Modifica les dades a Wikidata;
Es Bòrdes;Aran
Modifica les dades a Wikidata;
Espot;Pallars Sobirà
Modifica les dades a Wikidata;
Escut d'Estamariu.svg;
Estamariu;Alt Urgell
Modifica les dades a Wikidata;
Escut d'Estaràs.svg;
Estaràs;Segarra
Modifica les dades a Wikidata;
Escut d'Esterri d'Àneu.svg;
Esterri d'Àneu;Pallars Sobirà
Modifica les dades a Wikidata;
Escut municipal d'Esterri de Cardós.png;
Esterri de Cardós;Pallars Sobirà
Modifica les dades a Wikidata;
Farrera;Pallars Sobirà
Modifica les dades a Wikidata;
Escut de Fígols i Alinyà.svg;
Fígols i Alinyà;Alt Urgell
Modifica les dades a Wikidata;
Escut de Fondarella.svg;
Fondarella;Pla d'Urgell
Modifica les dades a Wikidata;
Escut de Foradada.svg;
Foradada;Noguera
Modifica les dades a Wikidata;
Escudo de Fulleda.svg;
Fulleda;Garrigues
Modifica les dades a Wikidata;
Escut de Gavet de la Conca.svg;
Gavet de la Conca;Pallars Jussà
Modifica les dades a Wikidata;
Escut de Gimenells i el Pla de la Font.svg;
Gimenells i el Pla de la Font;Segrià
Modifica les dades a Wikidata;
Escut de Golmés.svg;
Golmés;Pla d'Urgell
Modifica les dades a Wikidata;
Escut de Gósol.svg;
Gósol;Berguedà
Modifica les dades a Wikidata;
Escut de Granyanella.svg;
Granyanella;Segarra
Modifica les dades a Wikidata;
Escut de Granyena de les Garrigues.svg;
Granyena de les Garrigues;Garrigues
Modifica les dades a Wikidata;
Escut de Granyena de Segarra.svg;
Granyena de Segarra;Segarra
Modifica les dades a Wikidata;
Escut de Guimerà.svg;
Guimerà;Urgell
Modifica les dades a Wikidata;
Escut de Guissona.svg;
Guissona;Segarra
Modifica les dades a Wikidata;
Escut de Guixers.svg;
Guixers;Solsonès
Modifica les dades a Wikidata;
Escut d'Isona i Conca Dellà.svg;
Isona i Conca Dellà;Pallars Jussà
Modifica les dades a Wikidata;
Escut d'Ivars d'Urgell.svg;
Ivars d'Urgell;Pla d'Urgell
Modifica les dades a Wikidata;
Escut d'Ivars de Noguera.svg;
Ivars de Noguera;Noguera
Modifica les dades a Wikidata;
Escut d'Ivorra THV-ES.svg;
Ivorra;Segarra
Modifica les dades a Wikidata;
Escut de Josa i Tuixén.svg;
Josa i Tuixén;Alt Urgell
Modifica les dades a Wikidata;
Escudo de Juncosa.svg;
